iter	Passed	Remaining
0	0	91
1	1	82
2	2	77
3	3	72
4	3	71
5	4	70
6	5	69
7	6	69
8	6	68
9	7	67
10	8	67
11	9	67
12	9	66
13	10	66
14	11	65
15	12	64
16	12	63
17	13	62
18	14	61
19	15	60
20	16	60
21	16	59
22	17	59
23	18	58
24	19	58
25	20	58
26	21	58
27	22	58
28	23	58
29	25	58
30	25	57
31	26	56
32	27	56
33	28	55
34	29	54
35	29	53
36	30	52
37	31	51
38	32	50
39	32	49
40	33	48
41	33	46
42	34	46
43	36	46
44	38	46
45	40	47
46	41	46
47	42	46
48	43	45
49	44	44
50	45	43
51	46	42
52	46	41
53	47	40
54	48	39
55	48	38
56	49	37
57	50	36
58	50	35
59	51	34
60	51	33
61	52	32
62	53	31
63	54	30
64	55	29
65	56	28
66	56	27
67	57	27
68	58	26
69	59	25
70	59	24
71	60	23
72	61	22
73	61	21
74	62	20
75	63	20
76	64	19
77	64	18
78	65	17
79	66	16
80	67	15
81	67	14
82	68	14
83	69	13
84	70	12
85	71	11
86	71	10
87	72	9
88	73	9
89	73	8
90	74	7
91	75	6
92	76	5
93	76	4
94	77	4
95	78	3
96	78	2
97	79	1
98	80	0
99	81	0
